mz	p.value	t.score	mode
167.9972	0.862891799	0.294054196	negative
167.0098	0.363187302	1.436599094	negative
334.0572	0.395303924	1.345258859	negative
397.1336	0.648416911	0.748530987	negative
659.3266	0.026829407	-3.603159767	negative
213.1498	0.194183617	2.010960946	negative
438.2625	0.12096166	2.446913592	negative
164.0717	0.024887418	3.649697281	negative
218.1032	0.613179925	0.82494524	negative
260.1031	0.242510653	1.826908289	negative
357.0617	0.411563417	1.301337877	negative
334.0573	0.172581648	2.137312519	negative
194.0492	0.712970037	0.613855241	negative
157.0366	0.774840839	0.488119715	negative
251.1035	0.621743971	0.80423937	negative
155.0461	0.768059331	0.498140579	negative
